Typ;Funktion;Klassifikation Sag (2010);Beleg;Sigle;Ort;Kreis;X;Y
PPw dass;Obliquus;NP;  (PAUSE) ich weiß selbst nicht, an was daß das liegt, ob das am am Obst ;ZW629TRA.HTM;Ladenburg;Mannheim;8.6091666666667;49.471944444444
PPw dass;Obliquus;NP;  am am Obst liegt oder an was daß das liegt. Also wir haben früher in ;ZW629TRA.HTM;Ladenburg;Mannheim;8.6091666666667;49.471944444444
PPwelch dass;Obliquus;Det;  und wo sie hingehörten, an welchen Tagen daß sie sich melden mußten und so weiter. ;ZWA85TRA.HTM;Hintersteinau;Schlüchtern;9.4660833333333;50.416258333333
PPwelch dass;Obliquus;Det;  wir stammen, nicht, und aus welcher Gegend daß wir kommen und das wir eben so ;ZW0B1TRA.HTM;Penkendorf [Panków];Schweidnitz;16.530833;50.898889
PPwelch dass;Obliquus;Det;  je nachdem, durch was für eine Gegend daß wir kommen. Da kommen dann die betreffenden ;ZWS15TRA.HTM;Heek;Ahaus;7.0997222222222;52.116666666667
Extraktion;;;  unseren jungen Jahren, wo hatten wir gewußt, daß es so feines Zeug gibt, wo man ;ZWH64TRA.HTM;Hasborn;St. Wendel;6.979444;49.491944
Extraktion;;;  ausmacht. Das wo dranhängt glaube ich nicht, daß das erfriert. Wenn es herunten liegt, wird ;ZWK14TRA.HTM;Hendungen;Mellrichstadt;10.35;50.4
PPw dass;Obliquus;NP; . Aber da habe ich gewußt, für wen daß ich gekämpft habe, nicht. Und wenn sich ;ZWE68TRA.HTM;Regenstauf;Regensburg;12.127777777778;49.122777777778
komplexe Subjunktion;;;  Schützengilde, genau wie es früher war, wiewohl daß es keine Schützengilde mehr ist sondern ein ;ZW5K2TRA.HTM;Wathlingen;Celle;10.15;52.533333333333
komplexe Subjunktion;;;  sich, genau wie die Stadt auch. Anstatt daß die Weibsleute lange Haare haben und und ;ZW644TRA.HTM;Ichenheim;Lahr;7.8038888888889;48.465277777778
komplexe Subjunktion;;; ) sie geht lieber in die Stadt, wie daß sie hier auf dem Lande daheim schafft. ;ZW6G9TRA.HTM;Münster;Friedberg;8.859167;49.925278
komplexe Subjunktion;;; ! Einer hat dem Andern was eingegossen, bis daß sie bald nicht mehr stehen konnten. Aber ;ZW9A3TRA.HTM;Stukenbrock;Paderborn;8.6561111111111;51.9125
komplexe Subjunktion;;;  eben nichts anderes zu machen als wie, daß ich mich da auch einarbeiten mußte. Nun ;ZW9I8TRA.HTM;Oberholzklau;Siegen;7.9343390463889;50.926261397778
komplexe Subjunktion;;; . und der andere, wie er heim - anstatt daß er heim ist, ist er hinein zum ;ZWB54TRA.HTM;Urspringen;Marktheidenfeld;9.6713888888889;49.901666666667
komplexe Subjunktion;;;  noch mehr streiten als wie früher, obwohl daß sie früher auch mal gestritten haben, obwohl ;ZWC62TRA.HTM;Mittelricht;Neumarkt;11.4;49.25
komplexe Subjunktion;;;  Halm und geht da kaputt, als wie daß wir noch Arbeit (damit) haben. Das war ;ZWH50TRA.HTM;Hilbringen;Merzig;6.6170;49.44116
komplexe Subjunktion;;;"  schon - so was (PAUSE) S1:&nbsp;Bevor daß ihr in Ascheberg in der Schule zuging. ";ZWT75TRA.HTM;Ascheberg;Lüdinghausen;7.623889;51.791667
komplexe Subjunktion;;;  wenn wir dich was lernen lassen. Trotzdem daß ich gern Bauer geblieben wäre. Ja, hab ;ZWY92TRA.HTM;Fechheim;Coburg;11.119444444444;50.273416666667
PPwelch dass;Obliquus;Det;  reibungslos, fragt mich noch, mit welchem Zug daß ich weg will, na, mit dem und ;ZW514TRA.HTM;Nordrach;Wolfach;8.08;48.398055555556
PPw dass;Obliquus;NP; , nicht wahr. Man weiß schon, mit wem daß man umgeht und wenn dann gewöhnlich, wenn ;ZW4K2TRA.HTM;Kallstadt;Neustadt a. d. Weinstraße;8.1758333333333;49.490555555556
unklar;;;  bloß festgestellt, was ein jeder sein - was [daß] ein jeder da ist, wieviel daß - gar ;ZWE54TRA.HTM;Weltenburg;Kelheim;11.819722222222;48.898888888889
unklar;;;Aber lieber tut da der Bauer eine Fuhre Mist aufladen, wie daß er einen Bleistift in die Hand nimmt. ;ZWF65TRA.HTM;Trauchgau;Füssen;10.820555555556;47.629722222222
unklar;;;  die Rinnen, wo das (PAUSE) der Wasserdurchlauf, daß das Wasser nicht über den Weg läuft ;ZWI22TRA.HTM;Graach;Bernkastel;7.0625;49.9350
unklar;;;  damit es dann so schwach ist, wie daß es dann in die Maschine paßt. Also ;ZWK74TRA.HTM;Schönsee;Oberviechtach;12.548333333333;49.510555555556
unklar;;;"  rübergewechselt oder m (PAUSE) wie meinen Sie, daß die - S2:&nbsp;Meinen tut man's ";ZWK78TRA.HTM;Schwarzhofen;Neunburg vorm Wald;12.345833333333;49.379166666667
unklar;;;  paßt, was [=das] der Zylinder paßt, was [= daß] die die Schlagleisten alle in Ordnung sind, ;ZWL04TRA.HTM;Zinzenzell;Bogen;12.578889;49.077222
unklar;;;" die Arbeiter die allesamt beschäftigt sind, was [=daß] jeder seine Arbeit wieder macht; der eine ";ZWL04TRA.HTM;Zinzenzell;Bogen;12.578889;49.077222
unklar;;;  du wieder nach dem Motor nachschauen, was [= daß] sein Betriebseignungsversicherung erhalten ha;ZWL04TRA.HTM;Zinzenzell;Bogen;12.578889;49.077222
unklar;;;  Bauer selbst - immer wieder einmal nach, was [= daß] wirklich alles stimmt. Wenn's nicht stimmt, ;ZWL04TRA.HTM;Zinzenzell;Bogen;12.578889;49.077222
unklar;;;  schaut schon wieder auf die Uhr, was [= daß] natürlich bald Brotzeit kommt, daß er vespern;ZWL04TRA.HTM;Zinzenzell;Bogen;12.578889;49.077222
unklar;;;  Ofen eingesetzt die Steine aufgesetzt, wo das, daß sie gebrannt werden konnten, nicht! Und da ;ZWL75TRA.HTM;Uttum;Norden;7.1563888888889;53.453055555556
unklar;;;  zu machen. Während wir (PAUSE) wie lange, daß ich da (PAUSE) wie ich da war, ;ZWN34TRA.HTM;Emmerstedt;Helmstedt;10.964480555556;52.243969444444
unklar;;;  Seil auf die Eisscholle kommt. Nicht, wie daß das noch mal passiert, wie neunzehnhundertunds;ZWP83TRA.HTM;Alken;St. Goar;7.45;50.248333
